Date_reported,StringencyIndex,Cumulative_cases,Recovery,New_cases,NewCases_local,NewCases_imported,Cumulative_deaths,New_deaths,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,EconomicSupportIndex,GovernmentResponseIndex,ContainmentHealthIndex,Atleast1dose,fullvaccine
22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0,0,0,4,-1,-9,5,1,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,-2,3,-4,-6,4,2,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,-1,3,-2,-7,10,1,0,1.56,1.79,0,0
04/02/2020,0,0,0,0,0,0,0,0,-1,3,0,-5,10,1,0,1.56,1.79,0,0
05/02/2020,0,0,0,0,0,0,0,0,-1,0,0,-4,9,2,0,1.56,1.79,0,0
06/02/2020,0,0,0,0,0,0,0,0,-2,0,1,-7,11,1,0,1.56,1.79,0,0
07/02/2020,0,0,0,0,0,0,0,0,0,2,1,-8,17,1,0,1.56,1.79,0,0
08/02/2020,0,0,0,0,0,0,0,0,0,4,-2,-14,5,3,0,1.56,1.79,0,0
09/02/2020,0,0,0,0,0,0,0,0,2,4,-3,-12,6,1,0,1.56,1.79,0,0
10/02/2020,0,0,0,0,0,0,0,0,1,3,-1,-6,9,1,0,1.56,1.79,0,0
11/02/2020,0,0,0,0,0,0,0,0,3,4,3,-5,9,1,0,1.56,1.79,0,0
12/02/2020,0,0,0,0,0,0,0,0,0,1,1,-4,8,1,0,1.56,1.79,0,0
13/02/2020,0,0,0,0,0,0,0,0,1,3,2,-6,10,1,0,1.56,1.79,0,0
14/02/2020,0,0,0,0,0,0,0,0,4,5,2,-3,14,0,0,1.56,1.79,0,0
15/02/2020,0,0,0,0,0,0,0,0,1,5,-3,-7,7,0,0,1.56,1.79,0,0
16/02/2020,0,0,0,0,0,0,0,0,1,5,-6,-7,6,1,0,1.56,1.79,0,0
17/02/2020,0,0,0,0,0,0,0,0,1,5,-2,-3,11,0,0,1.56,1.79,0,0
18/02/2020,0,0,0,0,0,0,0,0,2,4,-1,-4,10,0,0,1.56,1.79,0,0
19/02/2020,0,0,0,0,0,0,0,0,-2,1,-3,-4,7,1,0,1.56,1.79,0,0
20/02/2020,0,0,0,0,0,0,0,0,-1,4,1,-6,10,0,0,1.56,1.79,0,0
21/02/2020,0,0,0,0,0,0,0,0,0,3,3,-6,8,1,0,1.56,1.79,0,0
22/02/2020,0,0,0,0,0,0,0,0,1,6,0,-11,5,1,0,1.56,1.79,0,0
23/02/2020,0,0,0,0,0,0,0,0,6,7,8,-11,2,-1,0,1.56,1.79,0,0
24/02/2020,0,0,0,0,0,0,0,0,0,3,5,-4,-41,5,0,1.56,1.79,0,0
25/02/2020,0,0,0,0,0,0,0,0,1,7,1,-4,13,0,0,1.56,1.79,0,0
26/02/2020,0,0,0,0,0,0,0,0,-2,1,0,-8,11,2,0,1.56,1.79,0,0
27/02/2020,0,0,0,0,0,0,0,0,-2,2,-1,-9,15,1,0,1.56,1.79,0,0
28/02/2020,0,0,0,0,0,0,0,0,-2,2,-2,-12,21,2,0,1.56,1.79,0,0
29/02/2020,0,0,0,0,0,0,0,0,-5,1,-6,-18,10,3,0,1.56,1.79,0,0
01/03/2020,0,0,0,0,0,0,0,0,-6,1,-5,-17,10,3,0,1.56,1.79,0,0
02/03/2020,0,0,0,0,0,0,0,0,-3,4,-3,-11,13,2,0,1.56,1.79,0,0
03/03/2020,0,0,0,0,0,0,0,0,-7,3,-3,-15,12,2,0,1.56,1.79,0,0
04/03/2020,0,0,0,0,0,0,0,0,-11,-2,-5,-16,9,4,0,1.56,1.79,0,0
05/03/2020,0,0,0,0,0,0,0,0,-11,0,-3,-12,6,4,0,1.56,1.79,0,0
06/03/2020,0,0,0,0,0,0,0,0,-14,0,-6,-9,2,6,0,1.56,1.79,0,0
07/03/2020,0,0,0,0,0,0,0,0,-19,-6,-13,-18,4,5,0,1.56,1.79,0,0
08/03/2020,0,0,0,0,0,0,0,0,-24,-10,-13,-26,2,6,0,1.56,1.79,0,0
09/03/2020,0,0,0,0,0,0,0,0,-20,-8,-6,-21,-10,6,0,1.56,1.79,0,0
10/03/2020,0,0,0,0,0,0,0,0,-24,-7,-5,-25,-12,6,0,1.56,1.79,0,0
11/03/2020,9.26,0,0,0,0,0,0,0,-30,-11,-7,-29,-16,9,0,6.77,7.74,0,0
12/03/2020,9.26,0,0,0,0,0,0,0,-34,-16,-8,-34,-16,9,0,6.77,7.74,0,0
13/03/2020,9.26,0,0,0,0,0,0,0,-39,-19,-12,-39,-13,12,0,6.77,7.74,0,0
14/03/2020,9.26,0,0,0,0,0,0,0,-43,-23,-19,-46,-8,11,0,6.77,7.74,0,0
15/03/2020,9.26,0,0,0,0,0,0,0,-45,-23,-18,-47,-9,11,0,6.77,7.74,0,0
16/03/2020,14.81,0,0,0,0,0,0,0,-42,-25,-14,-42,-27,13,0,9.9,11.31,0,0
17/03/2020,14.81,0,0,0,0,0,0,0,-40,-19,-9,-36,-30,10,0,11.98,13.69,0,0
18/03/2020,14.81,0,0,0,0,0,0,0,-53,-36,-13,-58,-45,16,0,11.98,13.69,0,0
19/03/2020,25.93,0,0,0,0,0,0,0,-55,-38,-14,-62,-45,17,0,18.23,20.83,0,0
20/03/2020,25.93,0,0,0,0,0,0,0,-56,-38,-17,-65,-41,20,0,18.23,20.83,0,0
21/03/2020,25.93,0,0,0,0,0,0,0,-59,-40,-24,-68,-26,16,0,18.23,20.83,0,0
22/03/2020,25.93,0,0,0,0,0,0,0,-59,-41,-23,-67,-19,15,0,18.23,20.83,0,0
23/03/2020,25.93,0,0,0,0,0,0,0,-55,-38,-16,-66,-49,18,0,18.23,20.83,0,0
24/03/2020,25.93,0,0,0,2,0,0,0,-56,-37,-14,-65,-49,17,0,21.35,24.4,0,0
25/03/2020,25.93,2,0,2,1,0,0,0,-58,-40,-15,-66,-49,18,0,21.35,24.4,0,0
26/03/2020,28.7,3,0,1,3,0,0,0,-58,-39,-16,-67,-47,19,0,22.92,26.19,0,0
27/03/2020,28.7,6,0,3,0,0,0,0,-60,-38,-19,-68,-43,22,0,22.92,26.19,0,0
28/03/2020,28.7,6,0,0,2,0,0,0,-59,-40,-26,-68,-20,17,0,22.92,26.19,0,0
29/03/2020,28.7,6,0,0,0,1,0,0,-62,-42,-26,-70,-20,17,0,22.92,26.19,0,0
30/03/2020,96.3,8,0,2,0,0,0,0,-58,-35,-14,-68,-59,20,0,71.88,82.14,0,0
31/03/2020,96.3,9,0,1,1,0,0,0,-59,-38,-11,-67,-61,17,0,71.88,82.14,0,0
01/04/2020,96.3,9,0,0,0,0,0,0,-60,-40,-12,-67,-61,19,0,71.88,82.14,0,0
02/04/2020,96.3,10,0,1,0,0,0,0,-59,-41,-12,-67,-60,18,50,78.12,82.14,0,0
03/04/2020,96.3,10,0,0,0,0,0,0,-62,-42,-18,-72,-54,22,50,78.12,82.14,0,0
04/04/2020,96.3,10,0,0,0,0,0,0,-60,-41,-26,-67,-28,16,50,78.12,82.14,0,0
05/04/2020,96.3,10,0,0,0,1,0,0,-58,-41,-27,-67,-16,15,50,78.12,82.14,0,0
06/04/2020,96.3,11,0,1,0,0,0,0,-50,-32,-16,-60,-39,15,50,81.25,85.71,0,0
07/04/2020,96.3,12,0,1,1,1,0,0,-50,-30,-14,-59,-41,14,50,81.25,85.71,0,0
08/04/2020,96.3,12,0,0,1,0,0,0,-53,-38,-18,-61,-41,15,50,81.25,85.71,0,0
09/04/2020,96.3,15,0,3,1,0,0,0,-50,-34,-13,-61,-39,13,50,81.25,85.71,0,0
10/04/2020,96.3,15,0,0,2,0,0,0,-54,-38,-20,-64,-35,17,50,81.25,85.71,0,0
11/04/2020,96.3,16,0,1,2,0,0,0,-52,-33,-24,-63,-16,13,50,81.25,85.71,0,0
12/04/2020,96.3,16,0,0,1,0,0,0,-52,-35,-23,-64,-9,13,50,81.25,85.71,0,0
13/04/2020,96.3,19,0,3,0,0,0,0,-47,-30,-16,-59,-37,14,50,81.25,85.71,0,0
14/04/2020,96.3,19,1,0,0,0,0,0,-46,-27,-11,-58,-38,12,50,81.25,85.71,0,0
15/04/2020,96.3,19,0,0,0,0,0,0,-47,-30,-12,-58,-38,13,50,81.25,85.71,0,0
16/04/2020,96.3,19,1,0,0,0,0,0,-45,-26,-11,-56,-36,12,50,81.25,85.71,0,0
17/04/2020,96.3,19,0,0,0,0,0,0,-49,-29,-14,-62,-49,17,50,81.25,85.71,0,0
18/04/2020,96.3,19,0,0,0,0,0,0,-46,-27,-20,-58,-13,10,50,81.25,85.71,0,0
19/04/2020,96.3,19,0,0,0,0,0,0,-44,-26,-20,-58,-5,9,50,81.25,85.71,0,0
20/04/2020,96.3,19,0,0,0,0,0,0,-30,-15,-10,-48,-21,8,50,81.25,85.71,0,0
21/04/2020,96.3,19,0,0,0,0,0,0,-31,-12,-7,-44,-22,7,50,81.25,85.71,0,0
22/04/2020,96.3,19,2,0,0,0,0,0,-30,-12,-7,-45,-25,9,50,81.25,85.71,0,0
23/04/2020,96.3,19,0,0,0,0,0,0,-34,-17,-6,-45,-21,8,50,81.25,85.71,0,0
24/04/2020,96.3,19,0,0,0,0,0,0,-32,-14,-10,-45,-14,10,50,81.25,85.71,0,0
25/04/2020,96.3,19,3,0,0,0,0,0,-35,-17,-17,-48,-3,7,50,81.25,85.71,0,0
26/04/2020,96.3,19,0,0,0,0,0,0,-32,-14,-14,-47,1,5,50,81.25,85.71,0,0
27/04/2020,96.3,19,0,0,0,0,0,0,-30,-15,-8,-44,-20,7,50,81.25,85.71,0,0
28/04/2020,96.3,19,0,0,0,0,0,0,-26,-9,-6,-39,-20,7,50,81.25,85.71,0,0
29/04/2020,96.3,19,0,0,0,0,0,0,-29,-14,-9,-44,-21,8,50,81.25,85.71,0,0
30/04/2020,96.3,19,1,0,0,0,0,0,-28,-13,-6,-43,-18,7,50,81.25,85.71,0,0
01/05/2020,96.3,19,0,0,0,0,0,0,-29,-13,-9,-44,-12,8,62.5,82.81,85.71,0,0
02/05/2020,96.3,19,1,0,0,0,0,0,-28,-13,-13,-45,1,5,62.5,82.81,85.71,0,0
03/05/2020,96.3,19,0,0,0,0,0,0,-28,-13,-14,-45,3,5,62.5,82.81,85.71,0,0
04/05/2020,85.19,19,0,0,0,0,0,0,-22,-7,-6,-28,-9,4,62.5,70.31,71.43,0,0
05/05/2020,85.19,19,0,0,0,0,0,0,-24,-9,-5,-26,-11,5,62.5,70.31,71.43,0,0
06/05/2020,85.19,19,1,0,0,0,0,0,-21,-7,-4,-26,-11,5,62.5,70.31,71.43,0,0
07/05/2020,85.19,19,-1,0,0,0,0,0,-21,-7,-4,-29,-10,6,62.5,70.31,71.43,0,0
08/05/2020,85.19,19,0,0,0,0,0,0,-21,-8,-7,-29,-2,6,62.5,70.31,71.43,0,0
09/05/2020,85.19,19,4,0,0,0,0,0,-25,-11,-14,-35,3,5,62.5,70.31,71.43,0,0
10/05/2020,85.19,19,0,0,0,0,0,0,-21,-8,-10,-29,5,3,62.5,70.31,71.43,0,0
11/05/2020,85.19,19,0,0,0,0,0,0,-19,-6,-5,-24,-9,4,62.5,70.31,71.43,0,0
12/05/2020,85.19,19,0,0,0,0,0,0,-18,-5,-4,-25,-8,4,62.5,70.31,71.43,0,0
13/05/2020,85.19,19,1,0,0,0,0,0,-18,-6,-5,-24,-9,5,62.5,70.31,71.43,0,0
14/05/2020,85.19,19,0,0,0,0,0,0,-21,-8,-6,-28,-6,4,62.5,70.31,71.43,0,0
15/05/2020,85.19,19,0,0,0,0,0,0,-18,-4,-5,-27,-1,5,62.5,70.31,71.43,0,0
16/05/2020,85.19,19,0,0,0,0,0,0,-18,-5,-12,-28,4,4,62.5,70.31,71.43,0,0
17/05/2020,85.19,19,0,0,0,0,0,0,-14,-2,-9,-23,6,3,62.5,70.31,71.43,0,0
18/05/2020,56.48,19,0,0,0,0,0,0,-5,2,-1,-16,-22,4,62.5,54.17,52.98,0,0
19/05/2020,56.48,19,0,0,0,0,0,0,-12,1,-3,-20,-3,2,62.5,54.17,52.98,0,0
20/05/2020,56.48,19,0,0,0,0,0,0,-11,-1,-3,-19,-4,3,62.5,54.17,52.98,0,0
21/05/2020,56.48,19,0,0,0,0,0,0,-13,-1,-2,-21,-1,2,62.5,54.17,52.98,0,0
22/05/2020,56.48,19,0,0,0,0,0,0,-10,3,-2,-22,5,3,62.5,54.17,52.98,0,0
23/05/2020,56.48,19,0,0,0,0,0,0,-13,-2,-9,-26,8,3,62.5,54.17,52.98,0,0
24/05/2020,56.48,19,0,0,0,0,0,0,-11,0,-7,-22,8,3,62.5,54.17,52.98,0,0
25/05/2020,56.48,19,0,0,0,0,0,0,-12,-1,-5,-21,0,2,62.5,54.17,52.98,0,0
26/05/2020,56.48,19,0,0,0,0,0,0,-10,1,-3,-21,-1,2,62.5,54.17,52.98,0,0
